PERMNO,date,TICKER,CUSIP,PRC,RET
14542,2014-04-03,GOOG,02079K10,569.73999,C
14542,2014-04-04,GOOG,02079K10,543.14001,-0.046688
14542,2014-04-07,GOOG,02079K10,538.15002,-0.009187
14542,2014-04-08,GOOG,02079K10,554.90002,0.031125
14542,2014-04-09,GOOG,02079K10,564.14001,0.016652
14542,2014-04-10,GOOG,02079K10,540.95001,-0.041107
14542,2014-04-11,GOOG,02079K10,530.59998,-0.019133
14542,2014-04-14,GOOG,02079K10,532.52002,0.003619
14542,2014-04-15,GOOG,02079K10,536.44,0.007361
14542,2014-04-16,GOOG,02079K10,556.53998,0.037469
14542,2014-04-17,GOOG,02079K10,536.09998,-0.036727
14542,2014-04-21,GOOG,02079K10,528.62,-0.013953
14542,2014-04-22,GOOG,02079K10,534.81,0.01171
14542,2014-04-23,GOOG,02079K10,526.94,-0.014715
14542,2014-04-24,GOOG,02079K10,525.15997,-0.003378
14542,2014-04-25,GOOG,02079K10,516.17999,-0.0171
14542,2014-04-28,GOOG,02079K10,517.15002,0.001879
14542,2014-04-29,GOOG,02079K10,527.70001,0.0204
14542,2014-04-30,GOOG,02079K10,526.65997,-0.001971
14542,2014-05-01,GOOG,02079K10,531.34998,0.008905
14542,2014-05-02,GOOG,02079K10,527.92999,-0.006436
14542,2014-05-05,GOOG,02079K10,527.81,-0.000227
14542,2014-05-06,GOOG,02079K10,515.14001,-0.024005
14542,2014-05-07,GOOG,02079K10,509.95999,-0.010056
14542,2014-05-08,GOOG,02079K10,511,0.002039
14542,2014-05-09,GOOG,02079K10,518.72998,0.015127
14542,2014-05-12,GOOG,02079K10,529.91998,0.021572
14542,2014-05-13,GOOG,02079K10,533.09003,0.005982
14542,2014-05-14,GOOG,02079K10,526.65002,-0.012081
14542,2014-05-15,GOOG,02079K10,519.97998,-0.012665
14542,2014-05-16,GOOG,02079K10,520.63,0.00125
14542,2014-05-19,GOOG,02079K10,528.85999,0.015808
14542,2014-05-20,GOOG,02079K10,529.77002,0.001721
14542,2014-05-21,GOOG,02079K10,538.94,0.017309
14542,2014-05-22,GOOG,02079K10,545.06,0.011356
14542,2014-05-23,GOOG,02079K10,552.70001,0.014017
14542,2014-05-27,GOOG,02079K10,565.95001,0.023973
14542,2014-05-28,GOOG,02079K10,561.67999,-0.007545
14542,2014-05-29,GOOG,02079K10,560.08002,-0.002849
14542,2014-05-30,GOOG,02079K10,559.89001,-0.000339
14542,2014-06-02,GOOG,02079K10,553.92999,-0.010645
14542,2014-06-03,GOOG,02079K10,544.94,-0.016229
14542,2014-06-04,GOOG,02079K10,544.65997,-0.000514
14542,2014-06-05,GOOG,02079K10,553.90002,0.016965
14542,2014-06-06,GOOG,02079K10,556.33002,0.004387
14542,2014-06-09,GOOG,02079K10,562.12,0.010407
14542,2014-06-10,GOOG,02079K10,560.54999,-0.002793
14542,2014-06-11,GOOG,02079K10,558.84003,-0.003051
14542,2014-06-12,GOOG,02079K10,551.34998,-0.013403
14542,2014-06-13,GOOG,02079K10,551.76001,0.000744
14542,2014-06-16,GOOG,02079K10,544.28003,-0.013557
14542,2014-06-17,GOOG,02079K10,543.01001,-0.002333
14542,2014-06-18,GOOG,02079K10,553.37,0.019079
14542,2014-06-19,GOOG,02079K10,554.90002,0.002765
14542,2014-06-20,GOOG,02079K10,556.35999,0.002631
14542,2014-06-23,GOOG,02079K10,564.95001,0.01544
14542,2014-06-24,GOOG,02079K10,564.62,-0.000584
14542,2014-06-25,GOOG,02079K10,578.65002,0.024849
14542,2014-06-26,GOOG,02079K10,576,-0.00458
14542,2014-06-27,GOOG,02079K10,577.23999,0.002153
14542,2014-06-30,GOOG,02079K10,575.28003,-0.003395
14542,2014-07-01,GOOG,02079K10,582.66998,0.012846
14542,2014-07-02,GOOG,02079K10,582.33502,-0.000575
14542,2014-07-03,GOOG,02079K10,584.72998,0.004113
14542,2014-07-07,GOOG,02079K10,582.25,-0.004241
14542,2014-07-08,GOOG,02079K10,571.09003,-0.019167
14542,2014-07-09,GOOG,02079K10,576.08002,0.008738
14542,2014-07-10,GOOG,02079K10,571.09998,-0.008645
14542,2014-07-11,GOOG,02079K10,579.17999,0.014148
14542,2014-07-14,GOOG,02079K10,584.87,0.009824
14542,2014-07-15,GOOG,02079K10,584.78003,-0.000154
14542,2014-07-16,GOOG,02079K10,582.65997,-0.003625
14542,2014-07-17,GOOG,02079K10,573.72992,-0.015326
14542,2014-07-18,GOOG,02079K10,595.08002,0.037213
14542,2014-07-21,GOOG,02079K10,589.46997,-0.009427
14542,2014-07-22,GOOG,02079K10,594.73999,0.00894
14542,2014-07-23,GOOG,02079K10,595.97998,0.002085
14542,2014-07-24,GOOG,02079K10,593.34998,-0.004413
